flow_id,source,target,target_name,enrolments,t,x,y_top,y_bottom
China to NSW,China,NSW,New South Wales,62154,0,-0.015,0.0,0.1
China to NSW,China,NSW,New South Wales,62154,1,0.01141,0.0,0.099992
China to NSW,China,NSW,New South Wales,62154,2,0.037821,0.0,0.09997
China to NSW,China,NSW,New South Wales,62154,3,0.064231,0.0,0.099933
China to NSW,China,NSW,New South Wales,62154,4,0.090641,0.0,0.099884
China to NSW,China,NSW,New South Wales,62154,5,0.117051,0.0,0.099822
China to NSW,China,NSW,New South Wales,62154,6,0.143462,0.0,0.099748
China to NSW,China,NSW,New South Wales,62154,7,0.169872,0.0,0.099663
China to NSW,China,NSW,New South Wales,62154,8,0.196282,0.0,0.099569
China to NSW,China,NSW,New South Wales,62154,9,0.222692,0.0,0.099465
China to NSW,China,NSW,New South Wales,62154,10,0.249103,0.0,0.099353
China to NSW,China,NSW,New South Wales,62154,11,0.275513,0.0,0.099233
China to NSW,China,NSW,New South Wales,62154,12,0.301923,0.0,0.099107
China to NSW,China,NSW,New South Wales,62154,13,0.328333,0.0,0.098974
China to NSW,China,NSW,New South Wales,62154,14,0.354744,0.0,0.098837
China to NSW,China,NSW,New South Wales,62154,15,0.381154,0.0,0.098695
China to NSW,China,NSW,New South Wales,62154,16,0.407564,0.0,0.098549
China to NSW,China,NSW,New South Wales,62154,17,0.433974,0.0,0.0984
China to NSW,China,NSW,New South Wales,62154,18,0.460385,0.0,0.09825
China to NSW,China,NSW,New South Wales,62154,19,0.486795,0.0,0.098098
China to NSW,China,NSW,New South Wales,62154,20,0.513205,0.0,0.097946
China to NSW,China,NSW,New South Wales,62154,21,0.539615,0.0,0.097794
China to NSW,China,NSW,New South Wales,62154,22,0.566026,0.0,0.097644
China to NSW,China,NSW,New South Wales,62154,23,0.592436,0.0,0.097495
China to NSW,China,NSW,New South Wales,62154,24,0.618846,0.0,0.09735
China to NSW,China,NSW,New South Wales,62154,25,0.645256,0.0,0.097207
China to NSW,China,NSW,New South Wales,62154,26,0.671667,0.0,0.09707
China to NSW,China,NSW,New South Wales,62154,27,0.698077,0.0,0.096937
China to NSW,China,NSW,New South Wales,62154,28,0.724487,0.0,0.096811
China to NSW,China,NSW,New South Wales,62154,29,0.750897,0.0,0.096691
China to NSW,China,NSW,New South Wales,62154,30,0.777308,0.0,0.096579
China to NSW,China,NSW,New South Wales,62154,31,0.803718,0.0,0.096475
China to NSW,China,NSW,New South Wales,62154,32,0.830128,0.0,0.096381
China to NSW,China,NSW,New South Wales,62154,33,0.856538,0.0,0.096296
China to NSW,China,NSW,New South Wales,62154,34,0.882949,0.0,0.096222
China to NSW,China,NSW,New South Wales,62154,35,0.909359,0.0,0.09616
China to NSW,China,NSW,New South Wales,62154,36,0.935769,0.0,0.096111
China to NSW,China,NSW,New South Wales,62154,37,0.962179,0.0,0.096074
China to NSW,China,NSW,New South Wales,62154,38,0.98859,0.0,0.096052
China to NSW,China,NSW,New South Wales,62154,39,1.015,0.0,0.096044
China to VIC,China,VIC,Victoria,37466,0,-0.015,0.1,0.160279
China to VIC,China,VIC,Victoria,37466,1,0.01141,0.100507,0.160781
China to VIC,China,VIC,Victoria,37466,2,0.037821,0.101991,0.162252
China to VIC,China,VIC,Victoria,37466,3,0.064231,0.1044,0.164639
China to VIC,China,VIC,Victoria,37466,4,0.090641,0.107682,0.167891
China to VIC,China,VIC,Victoria,37466,5,0.117051,0.111782,0.171954
China to VIC,China,VIC,Victoria,37466,6,0.143462,0.116649,0.176776
China to VIC,China,VIC,Victoria,37466,7,0.169872,0.12223,0.182306
China to VIC,China,VIC,Victoria,37466,8,0.196282,0.128471,0.18849
China to VIC,China,VIC,Victoria,37466,9,0.222692,0.13532,0.195277
China to VIC,China,VIC,Victoria,37466,10,0.249103,0.142724,0.202613
China to VIC,China,VIC,Victoria,37466,11,0.275513,0.15063,0.210447
China to VIC,China,VIC,Victoria,37466,12,0.301923,0.158985,0.218726
China to VIC,China,VIC,Victoria,37466,13,0.328333,0.167737,0.227398
China to VIC,China,VIC,Victoria,37466,14,0.354744,0.176832,0.23641
China to VIC,China,VIC,Victoria,37466,15,0.381154,0.186218,0.24571
China to VIC,China,VIC,Victoria,37466,16,0.407564,0.195842,0.255246
China to VIC,China,VIC,Victoria,37466,17,0.433974,0.205651,0.264966
China to VIC,China,VIC,Victoria,37466,18,0.460385,0.215592,0.274816
China to VIC,China,VIC,Victoria,37466,19,0.486795,0.225612,0.284745
China to VIC,China,VIC,Victoria,37466,20,0.513205,0.235658,0.2947
China to VIC,China,VIC,Victoria,37466,21,0.539615,0.245679,0.304628
China to VIC,China,VIC,Victoria,37466,22,0.566026,0.25562,0.314478
China to VIC,China,VIC,Victoria,37466,23,0.592436,0.265428,0.324198
China to VIC,China,VIC,Victoria,37466,24,0.618846,0.275052,0.333734
China to VIC,China,VIC,Victoria,37466,25,0.645256,0.284438,0.343034
China to VIC,China,VIC,Victoria,37466,26,0.671667,0.293533,0.352046
China to VIC,China,VIC,Victoria,37466,27,0.698077,0.302285,0.360718
China to VIC,China,VIC,Victoria,37466,28,0.724487,0.31064,0.368997
China to VIC,China,VIC,Victoria,37466,29,0.750897,0.318546,0.376831
China to VIC,China,VIC,Victoria,37466,30,0.777308,0.32595,0.384167
China to VIC,China,VIC,Victoria,37466,31,0.803718,0.332799,0.390954
China to VIC,China,VIC,Victoria,37466,32,0.830128,0.339041,0.397138
China to VIC,China,VIC,Victoria,37466,33,0.856538,0.344621,0.402668
China to VIC,China,VIC,Victoria,37466,34,0.882949,0.349488,0.40749
China to VIC,China,VIC,Victoria,37466,35,0.909359,0.353589,0.411553
China to VIC,China,VIC,Victoria,37466,36,0.935769,0.35687,0.414805
China to VIC,China,VIC,Victoria,37466,37,0.962179,0.359279,0.417192
China to VIC,China,VIC,Victoria,37466,38,0.98859,0.360763,0.418663
China to VIC,China,VIC,Victoria,37466,39,1.015,0.36127,0.419165
China to QLD,China,QLD,Queensland,13519,0,-0.015,0.160279,0.18203
China to QLD,China,QLD,Queensland,13519,1,0.01141,0.16121,0.182959
China to QLD,China,QLD,Queensland,13519,2,0.037821,0.163937,0.185681
China to QLD,China,QLD,Queensland,13519,3,0.064231,0.168363,0.190099
China to QLD,China,QLD,Queensland,13519,4,0.090641,0.174391,0.196116
China to QLD,China,QLD,Queensland,13519,5,0.117051,0.181924,0.203636
China to QLD,China,QLD,Queensland,13519,6,0.143462,0.190865,0.212561
China to QLD,China,QLD,Queensland,13519,7,0.169872,0.201117,0.222794
China to QLD,China,QLD,Queensland,13519,8,0.196282,0.212582,0.234239
China to QLD,China,QLD,Queensland,13519,9,0.222692,0.225164,0.246799
China to QLD,China,QLD,Queensland,13519,10,0.249103,0.238766,0.260376
China to QLD,China,QLD,Queensland,13519,11,0.275513,0.25329,0.274874
China to QLD,China,QLD,Queensland,13519,12,0.301923,0.268639,0.290196
China to QLD,China,QLD,Queensland,13519,13,0.328333,0.284717,0.306244
China to QLD,China,QLD,Queensland,13519,14,0.354744,0.301425,0.322923
China to QLD,China,QLD,Queensland,13519,15,0.381154,0.318668,0.340135
China to QLD,China,QLD,Queensland,13519,16,0.407564,0.336348,0.357783
China to QLD,China,QLD,Queensland,13519,17,0.433974,0.354367,0.37577
China to QLD,China,QLD,Queensland,13519,18,0.460385,0.37263,0.394
China to QLD,China,QLD,Queensland,13519,19,0.486795,0.391037,0.412375
China to QLD,China,QLD,Queensland,13519,20,0.513205,0.409494,0.430798
China to QLD,China,QLD,Queensland,13519,21,0.539615,0.427902,0.449173
China to QLD,China,QLD,Queensland,13519,22,0.566026,0.446164,0.467402
China to QLD,China,QLD,Queensland,13519,23,0.592436,0.464183,0.485389
China to QLD,China,QLD,Queensland,13519,24,0.618846,0.481863,0.503037
China to QLD,China,QLD,Queensland,13519,25,0.645256,0.499106,0.520249
China to QLD,China,QLD,Queensland,13519,26,0.671667,0.515815,0.536928
China to QLD,China,QLD,Queensland,13519,27,0.698077,0.531892,0.552977
China to QLD,China,QLD,Queensland,13519,28,0.724487,0.547241,0.568299
China to QLD,China,QLD,Queensland,13519,29,0.750897,0.561766,0.582797
China to QLD,China,QLD,Queensland,13519,30,0.777308,0.575367,0.596374
China to QLD,China,QLD,Queensland,13519,31,0.803718,0.587949,0.608933
China to QLD,China,QLD,Queensland,13519,32,0.830128,0.599415,0.620378
China to QLD,China,QLD,Queensland,13519,33,0.856538,0.609666,0.630612
China to QLD,China,QLD,Queensland,13519,34,0.882949,0.618607,0.639537
China to QLD,China,QLD,Queensland,13519,35,0.909359,0.626141,0.647056
China to QLD,China,QLD,Queensland,13519,36,0.935769,0.632169,0.653073
China to QLD,China,QLD,Queensland,13519,37,0.962179,0.636595,0.657491
China to QLD,China,QLD,Queensland,13519,38,0.98859,0.639321,0.660213
China to QLD,China,QLD,Queensland,13519,39,1.015,0.640252,0.661142
China to WA,China,WA,Western Australia,4994,0,-0.015,0.18203,0.190065
China to WA,China,WA,Western Australia,4994,1,0.01141,0.183183,0.191217
China to WA,China,WA,Western Australia,4994,2,0.037821,0.186561,0.194593
China to WA,China,WA,Western Australia,4994,3,0.064231,0.192044,0.200073
China to WA,China,WA,Western Australia,4994,4,0.090641,0.199511,0.207537
China to WA,China,WA,Western Australia,4994,5,0.117051,0.208843,0.216863
China to WA,China,WA,Western Australia,4994,6,0.143462,0.219919,0.227933
China to WA,China,WA,Western Australia,4994,7,0.169872,0.232618,0.240626
China to WA,China,WA,Western Australia,4994,8,0.196282,0.246821,0.254822
China to WA,China,WA,Western Australia,4994,9,0.222692,0.262408,0.2704
China to WA,China,WA,Western Australia,4994,10,0.249103,0.279257,0.28724
China to WA,China,WA,Western Australia,4994,11,0.275513,0.297249,0.305222
China to WA,China,WA,Western Australia,4994,12,0.301923,0.316263,0.324226
China to WA,China,WA,Western Australia,4994,13,0.328333,0.33618,0.344132
China to WA,China,WA,Western Australia,4994,14,0.354744,0.356878,0.364819
China to WA,China,WA,Western Australia,4994,15,0.381154,0.378238,0.386168
China to WA,China,WA,Western Australia,4994,16,0.407564,0.400139,0.408057
China to WA,China,WA,Western Australia,4994,17,0.433974,0.422461,0.430367
China to WA,China,WA,Western Australia,4994,18,0.460385,0.445083,0.452978
China to WA,China,WA,Western Australia,4994,19,0.486795,0.467887,0.475769
China to WA,China,WA,Western Australia,4994,20,0.513205,0.49075,0.49862
China to WA,China,WA,Western Australia,4994,21,0.539615,0.513553,0.521411
China to WA,China,WA,Western Australia,4994,22,0.566026,0.536176,0.544021
China to WA,China,WA,Western Australia,4994,23,0.592436,0.558498,0.566332
China to WA,China,WA,Western Australia,4994,24,0.618846,0.580399,0.588221
China to WA,China,WA,Western Australia,4994,25,0.645256,0.601759,0.609569
China to WA,China,WA,Western Australia,4994,26,0.671667,0.622457,0.630256
China to WA,China,WA,Western Australia,4994,27,0.698077,0.642373,0.650162
China to WA,China,WA,Western Australia,4994,28,0.724487,0.661388,0.669166
China to WA,China,WA,Western Australia,4994,29,0.750897,0.67938,0.687149
China to WA,China,WA,Western Australia,4994,30,0.777308,0.696229,0.703989
China to WA,China,WA,Western Australia,4994,31,0.803718,0.711815,0.719567
China to WA,China,WA,Western Australia,4994,32,0.830128,0.726018,0.733762
China to WA,China,WA,Western Australia,4994,33,0.856538,0.738718,0.746455
China to WA,China,WA,Western Australia,4994,34,0.882949,0.749794,0.757525
China to WA,China,WA,Western Australia,4994,35,0.909359,0.759126,0.766852
China to WA,China,WA,Western Australia,4994,36,0.935769,0.766593,0.774315
China to WA,China,WA,Western Australia,4994,37,0.962179,0.772076,0.779795
China to WA,China,WA,Western Australia,4994,38,0.98859,0.775454,0.783171
China to WA,China,WA,Western Australia,4994,39,1.015,0.776606,0.784323
China to SA,China,SA,South Australia,6199,0,-0.015,0.190065,0.200039
China to SA,China,SA,South Australia,6199,1,0.01141,0.191376,0.201349
China to SA,China,SA,South Australia,6199,2,0.037821,0.195216,0.205187
China to SA,China,SA,South Australia,6199,3,0.064231,0.20145,0.211417
China to SA,China,SA,South Australia,6199,4,0.090641,0.20994,0.219902
China to SA,China,SA,South Australia,6199,5,0.117051,0.22055,0.230506
China to SA,China,SA,South Australia,6199,6,0.143462,0.233142,0.243091
China to SA,China,SA,South Australia,6199,7,0.169872,0.247581,0.257521
China to SA,China,SA,South Australia,6199,8,0.196282,0.263729,0.27366
China to SA,China,SA,South Australia,6199,9,0.222692,0.28145,0.291371
China to SA,China,SA,South Australia,6199,10,0.249103,0.300607,0.310516
China to SA,China,SA,South Australia,6199,11,0.275513,0.321063,0.33096
China to SA,China,SA,South Australia,6199,12,0.301923,0.342682,0.352566
China to SA,China,SA,South Australia,6199,13,0.328333,0.365326,0.375197
China to SA,China,SA,South Australia,6199,14,0.354744,0.388859,0.398716
China to SA,China,SA,South Australia,6199,15,0.381154,0.413144,0.422987
China to SA,China,SA,South Australia,6199,16,0.407564,0.438044,0.447873
China to SA,China,SA,South Australia,6199,17,0.433974,0.463423,0.473237
China to SA,China,SA,South Australia,6199,18,0.460385,0.489144,0.498943
China to SA,China,SA,South Australia,6199,19,0.486795,0.51507,0.524854
China to SA,China,SA,South Australia,6199,20,0.513205,0.541065,0.550834
China to SA,China,SA,South Australia,6199,21,0.539615,0.566991,0.576745
China to SA,China,SA,South Australia,6199,22,0.566026,0.592712,0.60245
China to SA,China,SA,South Australia,6199,23,0.592436,0.618091,0.627815
China to SA,China,SA,South Australia,6199,24,0.618846,0.642991,0.652701
China to SA,China,SA,South Australia,6199,25,0.645256,0.667277,0.676972
China to SA,China,SA,South Australia,6199,26,0.671667,0.690809,0.700491
China to SA,China,SA,South Australia,6199,27,0.698077,0.713453,0.723122
China to SA,China,SA,South Australia,6199,28,0.724487,0.735072,0.744727
China to SA,China,SA,South Australia,6199,29,0.750897,0.755528,0.765171
China to SA,China,SA,South Australia,6199,30,0.777308,0.774685,0.784317
China to SA,China,SA,South Australia,6199,31,0.803718,0.792406,0.802028
China to SA,China,SA,South Australia,6199,32,0.830128,0.808554,0.818166
China to SA,China,SA,South Australia,6199,33,0.856538,0.822993,0.832597
China to SA,China,SA,South Australia,6199,34,0.882949,0.835585,0.845182
China to SA,China,SA,South Australia,6199,35,0.909359,0.846195,0.855786
China to SA,China,SA,South Australia,6199,36,0.935769,0.854685,0.864271
China to SA,China,SA,South Australia,6199,37,0.962179,0.860919,0.870501
China to SA,China,SA,South Australia,6199,38,0.98859,0.864759,0.874339
China to SA,China,SA,South Australia,6199,39,1.015,0.86607,0.875649
China to ACT,China,ACT,Australian Capital Territory,4178,0,-0.015,0.200039,0.206761
China to ACT,China,ACT,Australian Capital Territory,4178,1,0.01141,0.201461,0.208182
China to ACT,China,ACT,Australian Capital Territory,4178,2,0.037821,0.205628,0.212348
China to ACT,China,ACT,Australian Capital Territory,4178,3,0.064231,0.212393,0.21911
China to ACT,China,ACT,Australian Capital Territory,4178,4,0.090641,0.221606,0.22832
China to ACT,China,ACT,Australian Capital Territory,4178,5,0.117051,0.233119,0.239829
China to ACT,China,ACT,Australian Capital Territory,4178,6,0.143462,0.246784,0.253489
China to ACT,China,ACT,Australian Capital Territory,4178,7,0.169872,0.262452,0.269151
China to ACT,China,ACT,Australian Capital Territory,4178,8,0.196282,0.279975,0.286668
China to ACT,China,ACT,Australian Capital Territory,4178,9,0.222692,0.299205,0.305891
China to ACT,China,ACT,Australian Capital Territory,4178,10,0.249103,0.319993,0.326671
China to ACT,China,ACT,Australian Capital Territory,4178,11,0.275513,0.342191,0.348861
China to ACT,China,ACT,Australian Capital Territory,4178,12,0.301923,0.36565,0.372312
China to ACT,China,ACT,Australian Capital Territory,4178,13,0.328333,0.390222,0.396875
China to ACT,China,ACT,Australian Capital Territory,4178,14,0.354744,0.415758,0.422402
China to ACT,China,ACT,Australian Capital Territory,4178,15,0.381154,0.442111,0.448745
China to ACT,China,ACT,Australian Capital Territory,4178,16,0.407564,0.469132,0.475756
China to ACT,China,ACT,Australian Capital Territory,4178,17,0.433974,0.496672,0.503286
China to ACT,China,ACT,Australian Capital Territory,4178,18,0.460385,0.524583,0.531187
China to ACT,China,ACT,Australian Capital Territory,4178,19,0.486795,0.552716,0.55931
China to ACT,China,ACT,Australian Capital Territory,4178,20,0.513205,0.580924,0.587508
China to ACT,China,ACT,Australian Capital Territory,4178,21,0.539615,0.609058,0.615631
China to ACT,China,ACT,Australian Capital Territory,4178,22,0.566026,0.636969,0.643532
China to ACT,China,ACT,Australian Capital Territory,4178,23,0.592436,0.664509,0.671062
China to ACT,China,ACT,Australian Capital Territory,4178,24,0.618846,0.691529,0.698073
China to ACT,China,ACT,Australian Capital Territory,4178,25,0.645256,0.717882,0.724416
China to ACT,China,ACT,Australian Capital Territory,4178,26,0.671667,0.743419,0.749944
China to ACT,China,ACT,Australian Capital Territory,4178,27,0.698077,0.767991,0.774507
China to ACT,China,ACT,Australian Capital Territory,4178,28,0.724487,0.79145,0.797957
China to ACT,China,ACT,Australian Capital Territory,4178,29,0.750897,0.813648,0.820147
China to ACT,China,ACT,Australian Capital Territory,4178,30,0.777308,0.834435,0.840927
China to ACT,China,ACT,Australian Capital Territory,4178,31,0.803718,0.853665,0.86015
China to ACT,China,ACT,Australian Capital Territory,4178,32,0.830128,0.871188,0.877667
China to ACT,China,ACT,Australian Capital Territory,4178,33,0.856538,0.886857,0.89333
China to ACT,China,ACT,Australian Capital Territory,4178,34,0.882949,0.900522,0.90699
China to ACT,China,ACT,Australian Capital Territory,4178,35,0.909359,0.912035,0.918499
China to ACT,China,ACT,Australian Capital Territory,4178,36,0.935769,0.921248,0.927708
China to ACT,China,ACT,Australian Capital Territory,4178,37,0.962179,0.928012,0.93447
China to ACT,China,ACT,Australian Capital Territory,4178,38,0.98859,0.93218,0.938636
China to ACT,China,ACT,Australian Capital Territory,4178,39,1.015,0.933602,0.940058
China to TAS,China,TAS,Tasmania,450,0,-0.015,0.206761,0.207485
China to TAS,China,TAS,Tasmania,450,1,0.01141,0.208238,0.208962
China to TAS,China,TAS,Tasmania,450,2,0.037821,0.212569,0.213293
China to TAS,China,TAS,Tasmania,450,3,0.064231,0.219598,0.220321
China to TAS,China,TAS,Tasmania,450,4,0.090641,0.229171,0.229894
China to TAS,China,TAS,Tasmania,450,5,0.117051,0.241134,0.241857
China to TAS,China,TAS,Tasmania,450,6,0.143462,0.255333,0.256055
China to TAS,China,TAS,Tasmania,450,7,0.169872,0.271613,0.272335
China to TAS,China,TAS,Tasmania,450,8,0.196282,0.289821,0.290542
China to TAS,China,TAS,Tasmania,450,9,0.222692,0.309803,0.310523
China to TAS,China,TAS,Tasmania,450,10,0.249103,0.331403,0.332122
China to TAS,China,TAS,Tasmania,450,11,0.275513,0.354468,0.355187
China to TAS,China,TAS,Tasmania,450,12,0.301923,0.378844,0.379562
China to TAS,China,TAS,Tasmania,450,13,0.328333,0.404377,0.405093
China to TAS,China,TAS,Tasmania,450,14,0.354744,0.430911,0.431627
China to TAS,China,TAS,Tasmania,450,15,0.381154,0.458294,0.459009
China to TAS,China,TAS,Tasmania,450,16,0.407564,0.486371,0.487084
China to TAS,China,TAS,Tasmania,450,17,0.433974,0.514987,0.5157
China to TAS,China,TAS,Tasmania,450,18,0.460385,0.543989,0.5447
China to TAS,China,TAS,Tasmania,450,19,0.486795,0.573222,0.573932
China to TAS,China,TAS,Tasmania,450,20,0.513205,0.602532,0.603241
China to TAS,China,TAS,Tasmania,450,21,0.539615,0.631765,0.632473
China to TAS,China,TAS,Tasmania,450,22,0.566026,0.660767,0.661474
China to TAS,China,TAS,Tasmania,450,23,0.592436,0.689384,0.690089
China to TAS,China,TAS,Tasmania,450,24,0.618846,0.71746,0.718165
China to TAS,China,TAS,Tasmania,450,25,0.645256,0.744843,0.745547
China to TAS,China,TAS,Tasmania,450,26,0.671667,0.771378,0.77208
China to TAS,China,TAS,Tasmania,450,27,0.698077,0.79691,0.797612
China to TAS,China,TAS,Tasmania,450,28,0.724487,0.821286,0.821987
China to TAS,China,TAS,Tasmania,450,29,0.750897,0.844351,0.845051
China to TAS,China,TAS,Tasmania,450,30,0.777308,0.865952,0.866651
China to TAS,China,TAS,Tasmania,450,31,0.803718,0.885933,0.886631
China to TAS,China,TAS,Tasmania,450,32,0.830128,0.904141,0.904839
China to TAS,China,TAS,Tasmania,450,33,0.856538,0.920422,0.921119
China to TAS,China,TAS,Tasmania,450,34,0.882949,0.934621,0.935317
China to TAS,China,TAS,Tasmania,450,35,0.909359,0.946584,0.94728
China to TAS,China,TAS,Tasmania,450,36,0.935769,0.956157,0.956853
China to TAS,China,TAS,Tasmania,450,37,0.962179,0.963185,0.963881
China to TAS,China,TAS,Tasmania,450,38,0.98859,0.967516,0.968211
China to TAS,China,TAS,Tasmania,450,39,1.015,0.968994,0.969689
China to NT,China,NT,Northern Territory,204,0,-0.015,0.207485,0.207813
China to NT,China,NT,Northern Territory,204,1,0.01141,0.20901,0.209338
China to NT,China,NT,Northern Territory,204,2,0.037821,0.21348,0.213808
China to NT,China,NT,Northern Territory,204,3,0.064231,0.220736,0.221064
China to NT,China,NT,Northern Territory,204,4,0.090641,0.230618,0.230946
China to NT,China,NT,Northern Territory,204,5,0.117051,0.242967,0.243294
China to NT,China,NT,Northern Territory,204,6,0.143462,0.257624,0.257951
China to NT,China,NT,Northern Territory,204,7,0.169872,0.27443,0.274757
China to NT,China,NT,Northern Territory,204,8,0.196282,0.293225,0.293552
China to NT,China,NT,Northern Territory,204,9,0.222692,0.313851,0.314178
China to NT,China,NT,Northern Territory,204,10,0.249103,0.336149,0.336475
China to NT,China,NT,Northern Territory,204,11,0.275513,0.359958,0.360284
China to NT,China,NT,Northern Territory,204,12,0.301923,0.38512,0.385446
China to NT,China,NT,Northern Territory,204,13,0.328333,0.411477,0.411801
China to NT,China,NT,Northern Territory,204,14,0.354744,0.438867,0.439192
China to NT,China,NT,Northern Territory,204,15,0.381154,0.467134,0.467458
China to NT,China,NT,Northern Territory,204,16,0.407564,0.496116,0.49644
China to NT,China,NT,Northern Territory,204,17,0.433974,0.525656,0.525979
China to NT,China,NT,Northern Territory,204,18,0.460385,0.555593,0.555916
China to NT,China,NT,Northern Territory,204,19,0.486795,0.58577,0.586092
China to NT,China,NT,Northern Territory,204,20,0.513205,0.616026,0.616347
China to NT,China,NT,Northern Territory,204,21,0.539615,0.646202,0.646523
China to NT,China,NT,Northern Territory,204,22,0.566026,0.676139,0.67646
China to NT,China,NT,Northern Territory,204,23,0.592436,0.705679,0.705999
China to NT,China,NT,Northern Territory,204,24,0.618846,0.734661,0.734981
China to NT,China,NT,Northern Territory,204,25,0.645256,0.762928,0.763247
China to NT,China,NT,Northern Territory,204,26,0.671667,0.790319,0.790637
China to NT,China,NT,Northern Territory,204,27,0.698077,0.816675,0.816993
China to NT,China,NT,Northern Territory,204,28,0.724487,0.841837,0.842155
China to NT,China,NT,Northern Territory,204,29,0.750897,0.865647,0.865964
China to NT,China,NT,Northern Territory,204,30,0.777308,0.887944,0.888261
China to NT,China,NT,Northern Territory,204,31,0.803718,0.90857,0.908887
China to NT,China,NT,Northern Territory,204,32,0.830128,0.927365,0.927682
China to NT,China,NT,Northern Territory,204,33,0.856538,0.944171,0.944487
China to NT,China,NT,Northern Territory,204,34,0.882949,0.958828,0.959144
China to NT,China,NT,Northern Territory,204,35,0.909359,0.971177,0.971493
China to NT,China,NT,Northern Territory,204,36,0.935769,0.981059,0.981375
China to NT,China,NT,Northern Territory,204,37,0.962179,0.988315,0.98863
China to NT,China,NT,Northern Territory,204,38,0.98859,0.992785,0.9931
China to NT,China,NT,Northern Territory,204,39,1.015,0.99431,0.994626
India to NSW,India,NSW,New South Wales,24710,0,-0.015,0.225813,0.265569
India to NSW,India,NSW,New South Wales,24710,1,0.01141,0.225561,0.265314
India to NSW,India,NSW,New South Wales,24710,2,0.037821,0.224824,0.264568
India to NSW,India,NSW,New South Wales,24710,3,0.064231,0.223628,0.263357
India to NSW,India,NSW,New South Wales,24710,4,0.090641,0.221998,0.261708
India to NSW,India,NSW,New South Wales,24710,5,0.117051,0.219961,0.259646
India to NSW,India,NSW,New South Wales,24710,6,0.143462,0.217544,0.2572
India to NSW,India,NSW,New South Wales,24710,7,0.169872,0.214772,0.254394
India to NSW,India,NSW,New South Wales,24710,8,0.196282,0.211672,0.251257
India to NSW,India,NSW,New South Wales,24710,9,0.222692,0.20827,0.247814
India to NSW,India,NSW,New South Wales,24710,10,0.249103,0.204593,0.244092
India to NSW,India,NSW,New South Wales,24710,11,0.275513,0.200666,0.240117
India to NSW,India,NSW,New South Wales,24710,12,0.301923,0.196516,0.235917
India to NSW,India,NSW,New South Wales,24710,13,0.328333,0.192169,0.231518
India to NSW,India,NSW,New South Wales,24710,14,0.354744,0.187652,0.226945
India to NSW,India,NSW,New South Wales,24710,15,0.381154,0.18299,0.222227
India to NSW,India,NSW,New South Wales,24710,16,0.407564,0.17821,0.217389
India to NSW,India,NSW,New South Wales,24710,17,0.433974,0.173338,0.212458
India to NSW,India,NSW,New South Wales,24710,18,0.460385,0.1684,0.207461
India to NSW,India,NSW,New South Wales,24710,19,0.486795,0.163424,0.202423
India to NSW,India,NSW,New South Wales,24710,20,0.513205,0.158434,0.197373
India to NSW,India,NSW,New South Wales,24710,21,0.539615,0.153457,0.192336
India to NSW,India,NSW,New South Wales,24710,22,0.566026,0.148519,0.187338
India to NSW,India,NSW,New South Wales,24710,23,0.592436,0.143647,0.182407
India to NSW,India,NSW,New South Wales,24710,24,0.618846,0.138867,0.17757
India to NSW,India,NSW,New South Wales,24710,25,0.645256,0.134205,0.172851
India to NSW,India,NSW,New South Wales,24710,26,0.671667,0.129688,0.168279
India to NSW,India,NSW,New South Wales,24710,27,0.698077,0.125341,0.163879
